Frame,Object_ID,YOLO_Label,Best_Match,Score
keyframe_0.jpg,1,potted plant,A plant,0.9722
keyframe_0.jpg,2,potted plant,A plant,0.9132
keyframe_0.jpg,3,potted plant,A plant,0.9765
keyframe_0.jpg,4,potted plant,A plant,0.9357
keyframe_0.jpg,5,potted plant,A plant,0.9661
keyframe_1.jpg,1,potted plant,A book,0.418
keyframe_1.jpg,2,chair,A book,0.333
keyframe_1.jpg,3,couch,A book,0.3649
keyframe_10.jpg,1,person,A Saree,0.4387
keyframe_100.jpg,1,person,A book,0.8891
keyframe_100.jpg,2,person,A Saree,0.5968
keyframe_100.jpg,3,couch,A bed,0.5208
keyframe_100.jpg,4,chair,A book,0.4573
keyframe_100.jpg,5,bed,A bed,0.5459
keyframe_100.jpg,6,chair,A chair,0.5242
keyframe_100.jpg,7,chair,A chair,0.4153
keyframe_100.jpg,8,chair,A watch,0.3262
keyframe_102.jpg,1,person,A Saree,0.7949
keyframe_102.jpg,2,chair,A watch,0.3204
keyframe_102.jpg,3,bed,A book,0.2489
keyframe_102.jpg,4,couch,A bed,0.5951
keyframe_102.jpg,5,person,A watch,0.3747
keyframe_104.jpg,1,chair,A book,0.2706
keyframe_104.jpg,2,person,A Saree,0.4575
keyframe_104.jpg,3,bed,A bed,0.3791
keyframe_104.jpg,4,couch,A bed,0.3941
keyframe_104.jpg,5,dining table,A bed,0.2126
keyframe_106.jpg,1,person,A Saree,0.7716
keyframe_106.jpg,2,chair,A book,0.4345
keyframe_106.jpg,3,bed,A bed,0.5379
keyframe_106.jpg,4,couch,A chair,0.3013
keyframe_106.jpg,5,person,A book,0.9111
keyframe_106.jpg,6,dining table,A spoon,0.1888
keyframe_107.jpg,1,person,A Kurta,0.3829
keyframe_107.jpg,2,person,A Necklace,0.1772
keyframe_108.jpg,1,person,A Kurta,0.4296
keyframe_109.jpg,1,person,A Saree,0.4841
keyframe_109.jpg,2,person,A book,0.3097
keyframe_11.jpg,1,person,A Kurta,0.7985
keyframe_110.jpg,1,person,A Saree,0.7728
keyframe_110.jpg,2,person,A Kurta,0.7432
keyframe_110.jpg,3,chair,A chair,0.5482
keyframe_110.jpg,4,book,A book,0.6619
keyframe_110.jpg,5,book,A book,0.9879
keyframe_110.jpg,6,book,A watch,0.2864
keyframe_111.jpg,1,person,A Saree,0.345
keyframe_111.jpg,2,person,A ring,0.625
keyframe_111.jpg,3,person,A woman wearing a saree,0.3705
keyframe_112.jpg,1,person,A ring,0.2439
keyframe_113.jpg,1,person,A rangoli,0.4784
keyframe_114.jpg,1,chair,A chair,0.7419
keyframe_114.jpg,2,couch,A chair,0.9313
keyframe_114.jpg,3,chair,A book,0.7968
keyframe_114.jpg,4,chair,A book,0.5579
keyframe_114.jpg,5,book,A book,0.2558
keyframe_114.jpg,6,potted plant,A book,0.252
keyframe_114.jpg,7,dining table,A chair,0.3077
keyframe_114.jpg,8,book,A book,0.9845
keyframe_115.jpg,1,person,A Saree,0.2394
keyframe_116.jpg,1,person,A bag,0.2986
keyframe_116.jpg,2,couch,A chair,0.9152
keyframe_116.jpg,3,potted plant,A watch,0.2994
keyframe_116.jpg,4,chair,A book,0.2657
keyframe_116.jpg,5,bottle,A watch,0.3943
keyframe_116.jpg,6,dining table,A chair,0.4698
keyframe_116.jpg,7,chair,A book,0.2801
keyframe_116.jpg,8,book,A book,0.997
keyframe_116.jpg,9,book,A bag,0.3526
keyframe_117.jpg,1,person,A book,0.4349
keyframe_117.jpg,2,person,A book,0.4669
keyframe_117.jpg,3,person,A spoon,0.5186
keyframe_117.jpg,4,person,A Saree,0.5
keyframe_117.jpg,5,potted plant,A watch,0.2483
keyframe_118.jpg,1,person,A Kurta,0.3125
keyframe_118.jpg,2,tie,pants,0.4896
keyframe_119.jpg,1,person,A Kurta,0.2702
keyframe_119.jpg,2,person,A bag,0.2575
keyframe_119.jpg,3,person,A Saree,0.756
keyframe_12.jpg,1,person,A Saree,0.3928
keyframe_120.jpg,1,person,A Kurta,0.3119
keyframe_120.jpg,2,person,A Saree,0.3184
keyframe_120.jpg,3,person,A Saree,0.7994
keyframe_120.jpg,4,chair,A bag,0.3427
keyframe_121.jpg,1,person,A Kurta,0.3439
keyframe_121.jpg,2,person,A watch,0.2954
keyframe_121.jpg,3,person,A bag,0.4089
keyframe_121.jpg,4,person,A watch,0.5239
keyframe_121.jpg,5,bottle,A book,0.3119
keyframe_122.jpg,1,person,A Saree,0.4754
keyframe_123.jpg,1,person,A Saree,0.6588
keyframe_124.jpg,1,person,A book,0.9356
keyframe_124.jpg,2,person,A bag,0.7355
keyframe_124.jpg,3,person,A watch,0.3132
keyframe_124.jpg,4,chair,A book,0.6066
keyframe_124.jpg,5,person,A watch,0.3344
keyframe_125.jpg,1,person,A Saree,0.6003
keyframe_126.jpg,1,person,A Saree,0.6605
keyframe_127.jpg,1,person,A Saree,0.4348
keyframe_128.jpg,1,person,A Kurta,0.4411
keyframe_128.jpg,2,tie,A watch,0.2572
keyframe_129.jpg,1,person,A Saree,0.6592
keyframe_13.jpg,1,person,A Kurta,0.9408
keyframe_130.jpg,1,person,A Kurta,0.6825
keyframe_130.jpg,2,tie,A ring,0.2557
keyframe_130.jpg,3,tie,A ring,0.4294
keyframe_131.jpg,1,person,A Saree,0.467
keyframe_132.jpg,1,person,A Saree,0.5364
keyframe_133.jpg,1,person,A Saree,0.4788
keyframe_133.jpg,2,person,A book,0.6173
keyframe_133.jpg,3,person,A bag,0.5181
keyframe_133.jpg,4,person,A book,0.4709
keyframe_133.jpg,5,bottle,A watch,0.3242
keyframe_133.jpg,6,chair,A ring,0.2203
keyframe_134.jpg,1,person,A watch,0.4192
keyframe_134.jpg,2,potted plant,A plant,0.9947
keyframe_134.jpg,3,remote,A book,0.3575
keyframe_135.jpg,1,person,A Saree,0.2172
keyframe_136.jpg,1,person,A Saree,0.1738
keyframe_137.jpg,1,person,A Saree,0.5522
keyframe_138.jpg,1,person,A t-shirt,0.3683
keyframe_138.jpg,2,person,A bag,0.203
keyframe_138.jpg,3,person,A ring,0.1853
keyframe_138.jpg,4,potted plant,A plant,0.5382
keyframe_138.jpg,5,microwave,A book,0.7999
keyframe_139.jpg,1,person,A Saree,0.3971
keyframe_139.jpg,2,person,A Saree,0.4509
keyframe_14.jpg,1,person,A woman wearing a saree,0.3855
keyframe_140.jpg,1,person,A Necklace,0.1934
keyframe_140.jpg,2,person,A book,0.5263
keyframe_140.jpg,3,chair,A ring,0.3579
keyframe_141.jpg,1,person,A Saree,0.3773
keyframe_141.jpg,2,person,A Saree,0.4592
keyframe_141.jpg,3,person,A Saree,0.6196
keyframe_142.jpg,1,person,A Saree,0.226
keyframe_142.jpg,2,person,A Saree,0.4757
keyframe_142.jpg,3,chair,A book,0.5175
keyframe_142.jpg,4,chair,A bed,0.3521
keyframe_143.jpg,1,person,A Saree,0.6282
keyframe_143.jpg,2,person,A Saree,0.8013
keyframe_144.jpg,1,person,A Saree,0.4298
keyframe_144.jpg,2,tie,A book,0.3118
keyframe_144.jpg,3,person,A Saree,0.7802
keyframe_145.jpg,1,person,A Saree,0.6992
keyframe_145.jpg,2,person,A Saree,0.8188
keyframe_146.jpg,1,person,A Kurta,0.9565
keyframe_146.jpg,2,person,A Saree,0.3287
keyframe_147.jpg,1,person,A bag,0.4926
keyframe_147.jpg,2,person,A watch,0.323
keyframe_147.jpg,3,person,A t-shirt,0.4555
keyframe_147.jpg,4,person,A Kurta,0.3321
keyframe_147.jpg,5,person,A watch,0.1966
keyframe_147.jpg,6,person,A watch,0.1835
keyframe_147.jpg,7,tv,A book,0.9924
keyframe_147.jpg,8,person,A watch,0.3931
keyframe_147.jpg,9,chair,A book,0.3336
keyframe_147.jpg,10,person,A watch,0.363
keyframe_147.jpg,11,person,A watch,0.2025
keyframe_147.jpg,12,couch,A book,0.4729
keyframe_148.jpg,1,person,A Kurta,0.9131
keyframe_148.jpg,2,person,A woman wearing a saree,0.3328
keyframe_149.jpg,1,person,A t-shirt,0.2161
keyframe_149.jpg,2,person,A Kurta,0.4849
keyframe_15.jpg,1,person,A Kurta,0.9546
keyframe_150.jpg,1,person,A Saree,0.3109
keyframe_151.jpg,1,person,A Saree,0.7422
keyframe_151.jpg,2,person,A Saree,0.5798
keyframe_152.jpg,1,person,A Saree,0.4728
keyframe_153.jpg,1,person,A bag,0.8508
keyframe_153.jpg,2,person,A bag,0.3813
keyframe_153.jpg,3,person,A t-shirt,0.4053
keyframe_153.jpg,4,person,A Saree,0.7154
keyframe_153.jpg,5,person,A bag,0.4604
keyframe_153.jpg,6,person,A Saree,0.2449
keyframe_153.jpg,7,chair,A book,0.3955
keyframe_153.jpg,8,chair,A book,0.4798
keyframe_153.jpg,9,person,A bag,0.1882
keyframe_153.jpg,10,person,A watch,0.2462
keyframe_153.jpg,11,person,A book,0.2294
keyframe_153.jpg,12,person,A watch,0.1914
keyframe_153.jpg,13,person,A book,0.294
keyframe_153.jpg,14,person,A bag,0.7223
keyframe_154.jpg,1,person,A Kurta,0.7693
keyframe_154.jpg,2,person,A t-shirt,0.3015
keyframe_155.jpg,1,person,A Saree,0.4028
keyframe_156.jpg,1,person,A bag,0.3233
keyframe_156.jpg,2,person,A Saree,0.2785
keyframe_156.jpg,3,person,A Saree,0.5363
keyframe_156.jpg,4,person,A t-shirt,0.3713
keyframe_156.jpg,5,person,A watch,0.2612
keyframe_156.jpg,6,person,A ring,0.266
keyframe_156.jpg,7,person,pants,0.4623
keyframe_156.jpg,8,person,A bag,0.2767
keyframe_156.jpg,9,chair,A book,0.3643
keyframe_156.jpg,10,tv,A book,0.4903
keyframe_156.jpg,11,person,A watch,0.2296
keyframe_157.jpg,1,person,A Kurta,0.3248
keyframe_157.jpg,2,person,A Saree,0.6969
keyframe_157.jpg,3,tie,A watch,0.2371
keyframe_158.jpg,1,person,pants,0.2503
keyframe_158.jpg,2,person,A Saree,0.4289
keyframe_158.jpg,3,person,A bag,0.3373
keyframe_158.jpg,4,person,A book,0.7313
keyframe_158.jpg,5,person,A watch,0.2114
keyframe_158.jpg,6,person,A bag,0.2751
keyframe_158.jpg,7,person,A book,0.672
keyframe_158.jpg,8,person,A ring,0.2546
keyframe_158.jpg,9,bottle,A watch,0.5223
keyframe_158.jpg,10,person,A watch,0.3847
keyframe_158.jpg,11,person,A watch,0.2905
keyframe_158.jpg,12,suitcase,A book,0.4231
keyframe_159.jpg,1,person,A Saree,0.5576
keyframe_159.jpg,2,person,A Saree,0.7029
keyframe_16.jpg,1,person,A Kurta,0.8988
keyframe_16.jpg,2,person,A Saree,0.7601
keyframe_16.jpg,3,potted plant,A plant,0.3544
keyframe_16.jpg,4,chair,A book,0.2874
keyframe_160.jpg,1,person,A Saree,0.3008
keyframe_161.jpg,1,person,A Saree,0.5158
keyframe_161.jpg,2,person,A Saree,0.7973
keyframe_162.jpg,1,person,A bag,0.833
keyframe_163.jpg,1,person,A Saree,0.7118
keyframe_163.jpg,2,person,A bag,0.4475
keyframe_163.jpg,3,person,A bag,0.3098
keyframe_163.jpg,4,person,A watch,0.4098
keyframe_163.jpg,5,person,pants,0.2884
keyframe_163.jpg,6,person,pants,0.2119
keyframe_163.jpg,7,person,A watch,0.356
keyframe_163.jpg,8,person,A watch,0.1939
keyframe_163.jpg,9,bottle,A watch,0.351
keyframe_163.jpg,10,person,A book,0.3154
keyframe_163.jpg,11,person,A bag,0.2431
keyframe_164.jpg,1,person,A Kurta,0.98
keyframe_164.jpg,2,person,A Saree,0.3828
keyframe_165.jpg,1,person,A Kurta,0.4755
keyframe_165.jpg,2,person,pants,0.4576
keyframe_165.jpg,3,person,A Saree,0.7744
keyframe_165.jpg,4,couch,A book,0.6472
keyframe_165.jpg,5,person,A Saree,0.7882
keyframe_165.jpg,6,person,A Saree,0.6546
keyframe_165.jpg,7,tv,A bag,0.3125
keyframe_166.jpg,1,person,A Saree,0.3532
keyframe_167.jpg,1,person,A Saree,0.4187
keyframe_168.jpg,1,person,A Kurta,0.3807
keyframe_169.jpg,1,person,A book,0.2336
keyframe_17.jpg,1,person,A Kurta,0.6605
keyframe_170.jpg,1,person,A Saree,0.4534
keyframe_171.jpg,1,person,A Saree,0.46
keyframe_171.jpg,2,person,A t-shirt,0.2845
keyframe_172.jpg,1,person,A Kurta,0.9244
keyframe_172.jpg,2,person,A Saree,0.2739
keyframe_173.jpg,1,person,A Kurta,0.3521
keyframe_174.jpg,1,person,A Kurta,0.8772
keyframe_174.jpg,2,person,A Saree,0.3085
keyframe_175.jpg,1,person,A Saree,0.5379
keyframe_176.jpg,1,person,A Kurta,0.8718
keyframe_176.jpg,2,person,A Saree,0.3706
keyframe_177.jpg,1,person,A Saree,0.4818
keyframe_178.jpg,1,person,A Saree,0.6813
keyframe_178.jpg,2,person,pants,0.3262
keyframe_178.jpg,3,person,A t-shirt,0.3434
keyframe_178.jpg,4,person,A bag,0.7027
keyframe_178.jpg,5,person,A watch,0.3472
keyframe_178.jpg,6,person,A Saree,0.5853
keyframe_178.jpg,7,person,A Saree,0.9182
keyframe_178.jpg,8,couch,A chair,0.9518
keyframe_178.jpg,9,person,A Kurta,0.4745
keyframe_179.jpg,1,person,A Saree,0.4979
keyframe_18.jpg,1,person,A Kurta,0.9679
keyframe_18.jpg,2,person,A Saree,0.5241
keyframe_18.jpg,3,remote,A ring,0.788
keyframe_18.jpg,4,potted plant,A plant,0.4626
keyframe_180.jpg,1,person,Spectacles,0.4794
keyframe_181.jpg,1,person,A woman wearing a saree,0.3794
keyframe_19.jpg,1,person,A book,0.8049
keyframe_19.jpg,2,person,A Kurta,0.1946
keyframe_19.jpg,3,bottle,A bag,0.5171
keyframe_19.jpg,4,potted plant,Flowers,0.5236
keyframe_19.jpg,5,person,A watch,0.4094
keyframe_2.jpg,1,person,A woman wearing a saree,0.4666
keyframe_20.jpg,1,person,A Saree,0.2582
keyframe_20.jpg,2,person,A ring,0.3604
keyframe_20.jpg,3,orange,A watch,0.4161
keyframe_20.jpg,4,bottle,A bag,0.293
keyframe_20.jpg,5,banana,A bag,0.4639
keyframe_20.jpg,6,banana,A watch,0.5965
keyframe_20.jpg,7,spoon,A watch,0.4019
keyframe_21.jpg,1,person,A Kurta,0.3038
keyframe_21.jpg,2,person,A Kurta,0.5457
keyframe_21.jpg,3,bottle,A bag,0.4141
keyframe_21.jpg,4,person,A book,0.313
keyframe_21.jpg,5,potted plant,Flowers,0.5219
keyframe_22.jpg,1,person,t-shirt,0.2329
keyframe_22.jpg,2,person,A bag,0.2598
keyframe_22.jpg,3,banana,A bag,0.7269
keyframe_22.jpg,4,orange,A ring,0.368
keyframe_22.jpg,5,bottle,A bag,0.2737
keyframe_22.jpg,6,banana,A ring,0.2831
keyframe_22.jpg,7,fork,A lamp,0.3272
keyframe_23.jpg,1,person,A book,0.2357
keyframe_23.jpg,2,person,A Kurta,0.615
keyframe_23.jpg,3,bottle,A bag,0.321
keyframe_24.jpg,1,person,t-shirt,0.2018
keyframe_24.jpg,2,person,A bag,0.1824
keyframe_24.jpg,3,bottle,A bag,0.2791
keyframe_24.jpg,4,orange,A ring,0.4382
keyframe_24.jpg,5,banana,A bag,0.5546
keyframe_24.jpg,6,banana,A bag,0.2516
keyframe_25.jpg,1,person,A book,0.3733
keyframe_25.jpg,2,person,A Kurta,0.5105
keyframe_25.jpg,3,bottle,A bag,0.6606
keyframe_25.jpg,4,potted plant,Flowers,0.3423
keyframe_26.jpg,1,person,A t-shirt,0.2193
keyframe_26.jpg,2,person,A bag,0.2619
keyframe_26.jpg,3,bottle,A bag,0.3786
keyframe_26.jpg,4,orange,A ring,0.3337
keyframe_26.jpg,5,banana,A bag,0.4473
keyframe_27.jpg,1,person,A Kurta,0.7414
keyframe_27.jpg,2,person,A Kurta,0.3684
keyframe_27.jpg,3,bottle,A bag,0.509
keyframe_27.jpg,4,potted plant,Flowers,0.2724
keyframe_28.jpg,1,person,A t-shirt,0.2228
keyframe_28.jpg,2,person,A bag,0.1889
keyframe_28.jpg,3,bottle,A watch,0.284
keyframe_28.jpg,4,banana,A bag,0.378
keyframe_28.jpg,5,orange,A ring,0.2581
keyframe_28.jpg,6,cell phone,A ring,0.3916
keyframe_29.jpg,1,chair,A book,0.2761
keyframe_29.jpg,2,person,A watch,0.6213
keyframe_29.jpg,3,person,A book,0.4316
keyframe_29.jpg,4,person,A book,0.2464
keyframe_29.jpg,5,person,A watch,0.4767
keyframe_29.jpg,6,dining table,A book,0.4074
keyframe_29.jpg,7,vase,A watch,0.59
keyframe_29.jpg,8,cake,A watch,0.427
keyframe_29.jpg,9,chair,A watch,0.482
keyframe_29.jpg,10,chair,A watch,0.5191
keyframe_29.jpg,11,chair,A watch,0.3595
keyframe_29.jpg,12,vase,A watch,0.653
keyframe_29.jpg,13,cake,A watch,0.4111
keyframe_29.jpg,14,cake,A book,0.4168
keyframe_29.jpg,15,potted plant,A plant,0.6966
keyframe_3.jpg,1,person,A Kurta,0.9036
keyframe_30.jpg,1,person,A t-shirt,0.2431
keyframe_30.jpg,2,person,A Kurta,0.4648
keyframe_30.jpg,3,bottle,A bag,0.6598
keyframe_30.jpg,4,person,A watch,0.4571
keyframe_31.jpg,1,person,A book,0.7312
keyframe_31.jpg,2,person,A watch,0.4203
keyframe_31.jpg,3,person,A book,0.5942
keyframe_31.jpg,4,potted plant,A plant,0.3972
keyframe_31.jpg,5,vase,A watch,0.4969
keyframe_31.jpg,6,person,A Kurta,0.3459
keyframe_32.jpg,1,person,A t-shirt,0.196
keyframe_32.jpg,2,person,A ring,0.272
keyframe_32.jpg,3,orange,A watch,0.357
keyframe_32.jpg,4,banana,A bag,0.6478
keyframe_32.jpg,5,bottle,A watch,0.3161
keyframe_32.jpg,6,wine glass,A watch,0.4258
keyframe_32.jpg,7,spoon,A watch,0.454
keyframe_33.jpg,1,person,A woman wearing a saree,0.4263
keyframe_34.jpg,1,person,A Necklace,0.2067
keyframe_34.jpg,2,person,A ring,0.2723
keyframe_34.jpg,3,orange,A watch,0.3939
keyframe_34.jpg,4,banana,A bag,0.7155
keyframe_34.jpg,5,bottle,A bag,0.3608
keyframe_34.jpg,6,wine glass,A watch,0.4884
keyframe_35.jpg,1,person,A book,0.2721
keyframe_35.jpg,2,person,A t-shirt,0.2816
keyframe_35.jpg,3,bottle,A bag,0.7638
keyframe_35.jpg,4,person,A book,0.2497
keyframe_35.jpg,5,potted plant,A book,0.3358
keyframe_36.jpg,1,person,A Saree,0.3344
keyframe_37.jpg,1,person,A Kurta,0.2042
keyframe_37.jpg,2,person,A Kurta,0.2798
keyframe_37.jpg,3,bottle,A bag,0.6694
keyframe_37.jpg,4,person,A watch,0.3504
keyframe_38.jpg,1,person,A woman wearing a saree,0.3681
keyframe_39.jpg,1,person,A Kurta,0.8112
keyframe_39.jpg,2,person,A Kurta,0.3437
keyframe_39.jpg,3,bottle,A bag,0.8076
keyframe_39.jpg,4,person,A book,0.4606
keyframe_39.jpg,5,refrigerator,A watch,0.251
keyframe_4.jpg,1,person,A woman wearing a saree,0.4412
keyframe_40.jpg,1,person,A watch,0.3438
keyframe_40.jpg,2,person,A watch,0.6981
keyframe_40.jpg,3,person,A Saree,0.4258
keyframe_40.jpg,4,chair,A bed,0.2808
keyframe_40.jpg,5,vase,A watch,0.5984
keyframe_40.jpg,6,dining table,A book,0.3346
keyframe_40.jpg,7,chair,A watch,0.5729
keyframe_40.jpg,8,person,A watch,0.2994
keyframe_40.jpg,9,potted plant,A plant,0.6381
keyframe_40.jpg,10,chair,A watch,0.4443
keyframe_40.jpg,11,vase,A watch,0.444
keyframe_40.jpg,12,chair,A watch,0.2503
keyframe_40.jpg,13,wine glass,A watch,0.298
keyframe_40.jpg,14,chair,A watch,0.3438
keyframe_41.jpg,1,potted plant,A plant,0.8607
keyframe_42.jpg,1,person,A Necklace,0.2707
keyframe_43.jpg,1,person,A Saree,0.4799
keyframe_43.jpg,2,potted plant,A bag,0.314
keyframe_44.jpg,1,person,A Kurta,0.3585
keyframe_44.jpg,2,tie,A bag,0.3357
keyframe_45.jpg,1,person,A Saree,0.5447
keyframe_45.jpg,2,potted plant,A Saree,0.5282
keyframe_46.jpg,1,person,A woman wearing a saree,0.414
keyframe_47.jpg,1,person,A Kurta,0.3968
keyframe_48.jpg,1,person,A Kurta,0.7241
keyframe_48.jpg,2,tie,A spoon,0.4286
keyframe_48.jpg,3,tie,A watch,0.4228
keyframe_49.jpg,1,person,A book,0.2349
keyframe_5.jpg,1,person,A Kurta,0.7277
keyframe_50.jpg,1,person,A Kurta,0.5544
keyframe_50.jpg,2,tie,A watch,0.2544
keyframe_51.jpg,1,person,A Kurta,0.3672
keyframe_52.jpg,1,person,A Kurta,0.6187
keyframe_53.jpg,1,person,A book,0.2604
keyframe_54.jpg,1,person,A Kurta,0.6977
keyframe_55.jpg,1,person,A Kurta,0.4393
keyframe_56.jpg,1,person,A Kurta,0.5201
keyframe_57.jpg,1,person,A Kurta,0.2891
keyframe_58.jpg,1,person,A Kurta,0.5363
keyframe_59.jpg,1,person,A Kurta,0.3129
keyframe_6.jpg,1,person,A Saree,0.4048
keyframe_60.jpg,1,person,A Kurta,0.5759
keyframe_61.jpg,1,chair,A chair,0.8754
keyframe_61.jpg,2,person,A book,0.621
keyframe_61.jpg,3,person,A book,0.5987
keyframe_61.jpg,4,chair,A book,0.2687
keyframe_61.jpg,5,chair,A watch,0.5144
keyframe_61.jpg,6,chair,A book,0.3661
keyframe_62.jpg,1,person,A Kurta,0.3802
keyframe_63.jpg,1,person,A Kurta,0.5145
keyframe_63.jpg,2,tie,A Necklace,0.2825
keyframe_64.jpg,1,chair,A chair,0.933
keyframe_64.jpg,2,person,A Saree,0.8333
keyframe_64.jpg,3,chair,A watch,0.4649
keyframe_64.jpg,4,person,A book,0.5668
keyframe_64.jpg,5,chair,A book,0.2468
keyframe_64.jpg,6,chair,A chair,0.3492
keyframe_64.jpg,7,person,A book,0.349
keyframe_64.jpg,8,chair,A watch,0.4541
keyframe_64.jpg,9,cup,A book,0.4322
keyframe_65.jpg,1,chair,A chair,0.8102
keyframe_65.jpg,2,person,A Saree,0.6564
keyframe_65.jpg,3,person,A watch,0.4608
keyframe_65.jpg,4,person,A Saree,0.7049
keyframe_65.jpg,5,chair,A watch,0.357
keyframe_65.jpg,6,chair,A chair,0.2718
keyframe_65.jpg,7,chair,A chair,0.4508
keyframe_65.jpg,8,person,A book,0.5922
keyframe_65.jpg,9,person,A book,0.2684
keyframe_65.jpg,10,chair,A chair,0.3019
keyframe_66.jpg,1,chair,A chair,0.9057
keyframe_66.jpg,2,person,A Saree,0.4524
keyframe_66.jpg,3,chair,A watch,0.4174
keyframe_66.jpg,4,person,pants,0.3668
keyframe_66.jpg,5,chair,A spoon,0.3243
keyframe_66.jpg,6,person,A Saree,0.7729
keyframe_66.jpg,7,chair,A chair,0.2424
keyframe_66.jpg,8,person,A book,0.6309
keyframe_66.jpg,9,person,A Necklace,0.3076
keyframe_66.jpg,10,person,A book,0.5783
keyframe_67.jpg,1,person,A woman wearing a saree,0.4478
keyframe_68.jpg,1,person,A Kurta,0.6712
keyframe_69.jpg,1,person,A Kurta,0.4758
keyframe_7.jpg,1,person,A Kurta,0.8732
keyframe_70.jpg,1,person,A Saree,0.6038
keyframe_70.jpg,2,person,A watch,0.4006
keyframe_71.jpg,1,chair,A chair,0.8444
keyframe_71.jpg,2,person,A Saree,0.6388
keyframe_71.jpg,3,person,A Saree,0.6606
keyframe_71.jpg,4,chair,A chair,0.2436
keyframe_71.jpg,5,chair,A watch,0.3915
keyframe_71.jpg,6,person,A book,0.3243
keyframe_71.jpg,7,chair,A chair,0.3099
keyframe_71.jpg,8,person,A watch,0.3366
keyframe_72.jpg,1,person,A book,0.2292
keyframe_73.jpg,1,chair,A chair,0.7889
keyframe_73.jpg,2,person,A Saree,0.7574
keyframe_73.jpg,3,person,A book,0.5601
keyframe_73.jpg,4,person,A Saree,0.5123
keyframe_73.jpg,5,chair,A spoon,0.2164
keyframe_73.jpg,6,person,A book,0.6006
keyframe_73.jpg,7,chair,A watch,0.4345
keyframe_73.jpg,8,chair,A book,0.2919
keyframe_74.jpg,1,person,A Saree,0.366
keyframe_75.jpg,1,person,A Saree,0.3935
keyframe_76.jpg,1,person,A Saree,0.264
keyframe_77.jpg,1,person,A woman wearing a saree,0.4283
keyframe_78.jpg,1,person,A Necklace,0.216
keyframe_78.jpg,2,book,A plant,0.2523
keyframe_79.jpg,1,person,A woman wearing a saree,0.4175
keyframe_8.jpg,1,person,A woman wearing a saree,0.4399
keyframe_80.jpg,1,person,A Necklace,0.2179
keyframe_81.jpg,1,person,A Saree,0.3561
keyframe_82.jpg,1,person,A Necklace,0.2143
keyframe_83.jpg,1,person,A Saree,0.4701
keyframe_84.jpg,1,person,A Saree,0.2971
keyframe_85.jpg,1,person,A Saree,0.3463
keyframe_86.jpg,1,person,A Saree,0.2453
keyframe_86.jpg,2,book,A book,0.3172
keyframe_87.jpg,1,person,A woman wearing a saree,0.3526
keyframe_88.jpg,1,person,A Saree,0.3245
keyframe_89.jpg,1,person,A chair,0.2165
keyframe_89.jpg,2,person,A Saree,0.7153
keyframe_89.jpg,3,person,A Saree,0.7719
keyframe_89.jpg,4,clock,A ring,0.7096
keyframe_89.jpg,5,person,A Saree,0.8364
keyframe_9.jpg,1,person,A Kurta,0.9022
keyframe_90.jpg,1,person,A watch,0.4407
keyframe_90.jpg,2,person,A ring,0.3967
keyframe_91.jpg,1,person,A Saree,0.3977
keyframe_92.jpg,1,person,A Saree,0.437
keyframe_93.jpg,1,person,A woman wearing a saree,0.407
keyframe_94.jpg,1,person,A woman wearing a saree,0.6319
keyframe_95.jpg,1,person,A woman wearing a saree,0.5224
keyframe_96.jpg,1,person,A watch,0.8475
keyframe_96.jpg,2,person,A Saree,0.82
keyframe_96.jpg,3,potted plant,A plant,0.4562
keyframe_97.jpg,1,person,A Saree,0.5965
keyframe_98.jpg,1,couch,A bed,0.561
keyframe_98.jpg,2,person,A Saree,0.3423
keyframe_98.jpg,3,person,A book,0.9447
keyframe_98.jpg,4,chair,A bed,0.2851
keyframe_99.jpg,1,person,A Kurta,0.7755
keyframe_99.jpg,2,book,A book,0.5913
keyframe_99.jpg,3,book,A book,0.9909
keyframe_99.jpg,4,book,A book,0.9303